age,gender,income
-193.59100191596607,M,130129.38354588968
100.5418046115308,M,205838.05805928272
-54.474388997604265,F,-76708.86926888194
-189.4887267663112,M,137741.1422468791
83.11080049819212,M,-33758.97831143996
22.468593049501024,M,-14492.354978525284
194.4685246189114,F,25301.878805920405
124.14782472094494,M,3406.9539444294533
-109.05524992489138,M,-165706.68148796094
49.9695059194931,M,10612.481938238649
28.092861306372008,F,65721.2161885307
-144.43140559802399,M,7302.997979855663
162.5221729949881,M,-24748.558957965943
43.95149176638006,F,22360.360603243516
-2.259943034307387,F,53290.36939822357
56.66937883662483,F,23707.59083019876
-2.110475324776175,F,-102610.09649224847
-28.980474403880798,F,-55887.687595955256
51.68935331973996,F,5649.776978855407
-11.811434490151182,M,157935.4520181628
64.76464218867332,M,39538.916676879686
6.911244828114153,F,220465.9284673225
61.02076631887724,M,-63201.768335371045
72.97457032203913,F,115003.70292570969
45.601065611578136,F,-125911.84243485908
25.74595256444221,M,146240.77043402745
43.527147594823546,F,126087.6988676151
-67.06413843868272,F,105951.19554507465
-81.96888153424244,M,133793.65779426153
-157.1600541291991,F,-77167.29722285636
-70.13190947355153,F,-21659.677847427694
134.004091980731,F,135477.78314773657
-78.22148388405,F,27070.822724277194
77.091472112919,F,-106976.24725578565
-199.4109542373421,F,128913.43820396652
67.06844297457837,M,-224126.4027104676
-19.10525050237353,F,-42606.91317818283
-206.16555278256797,F,-71898.82675042505
-16.53365766125583,M,-27807.78229861721
-139.7915677919026,F,-50447.07491832378
-13.838160495752874,M,-88033.89915199096
-103.19294286356998,M,193721.8495611766
-109.31907433489079,M,52022.72687402202
99.53270425730668,M,45865.07487038983
-2.562578818178725,F,185511.66152298456
83.28059908671065,F,-236903.22749141685
-60.444075804458265,F,-311013.4588541412
78.73454479501163,F,33264.41253049373
46.97744698342649,M,55443.65644744942
-89.0492752274811,M,-34197.57624217251
24.233619824253353,M,131641.5514031438
-0.954932494448645,F,-8462.997306923222
70.38940067240259,F,214877.1643168922
-8.708384433240315,M,58581.49634756116
-43.30382068846049,M,39048.328055987564
-257.509727548124,M,-55641.177519752266
101.09352822453684,F,-3294.4630255488446
22.967410268456064,M,-112334.04007350997
39.305999286961516,M,-25285.467470477226
127.8750843119558,M,179558.12315515906
-37.34609586849801,M,-42843.488168538446
-19.81512964620547,F,-54991.918344977414
-67.0835880657678,M,-45575.83009169946
-17.34021796974136,F,-110777.98011470668
21.340762686166123,F,-51675.10630443579
-19.764759140480344,F,-54026.716996536314
-125.4179871993052,F,88425.94676053774
-122.53634727790765,F,25007.53217473034
36.49188997539183,M,114544.7093102152
29.954864072663764,M,-68950.6278476742
-224.3765842485452,F,43743.76255722222
