age,gender,income
73.84104932195822,M,76.2604055849234
27.15524926919091,F,28.577268674017805
33.3622027142546,M,88.07362480378842
21.8229445512926,F,64.4643165814627
37.69252293234655,F,83.76980565002503
74.63829512797403,M,25.282335178315414
44.26016836176722,F,55.05822135937757
37.034909534868646,F,39.74548503030378
65.65570513060226,F,63.58821936686564
34.010297246194696,M,59.526764992503914
36.04801499754189,M,58.43425865692786
63.938002044099875,F,76.23178360448438
29.153252423550473,F,47.075567995847805
86.31111284538373,M,54.119921868104626
27.51017349287708,M,39.686304219910554
74.79639045419697,F,64.58477578154934
86.56662198355289,F,23.027804919636317
22.93585307071412,M,66.77611855905911
57.38532944649523,M,18.89398592514467
85.60753115374962,F,74.45735315000462
69.59001977931064,F,57.03710518908794
58.61983681064981,F,63.8046822183004
23.189143579521847,F,43.629613251270406
59.27275346690508,M,20.154232992030703
36.08073490509875,F,33.89099669401322
59.57024895500306,M,22.565831344319292
40.15800779288992,M,62.826052232334675
30.56946226935441,F,41.397636282883376
25.699219116681693,F,82.2545797273741
76.46499898683967,M,83.27834734897648
71.7384773116524,F,34.50864409510659
45.208302446361955,F,20.312359928302527
35.56106509646425,F,48.02373317457883
45.4657503703413,F,20.91518401674238
60.77192028778385,M,89.14493359058103
48.54200510541183,M,29.515471133193238
30.011549491865942,M,20.036100155750937
55.95318364338392,M,41.0346842173019
50.617247359548784,M,50.90504764774391
74.74954073319628,M,81.41843316543233
86.32910537363666,F,54.26563276523088
47.8429384197801,F,20.55072182632498
41.70108253731843,F,46.86609609084305
69.95769485837317,F,53.56320628342174
72.63871339204633,F,71.12304715964237
23.228840940019833,M,82.52603861699153
20.81890526798712,M,89.3856754995821
19.239663203961577,F,34.89717404524215
43.356227774162264,M,36.52821457191695
31.61013647301094,M,28.02483801204104
87.4158130878919,F,30.95553457504138
59.13585764338819,F,27.379271826999627
71.66998938118101,F,73.10090586928237
74.65190868197715,M,33.206308373150776
83.33043344798979,F,38.62627807414089
75.77926323868842,F,33.95854211814183
89.28406218786256,M,40.25061672998599
55.72553203597422,F,68.48457734689394
35.770332680383454,F,44.29189854977723
47.80875236339377,F,30.5715437704675
42.9250055101019,F,41.578560905962114
71.33964645129765,M,61.91325751689371
60.392089822084586,M,50.98621873270117
40.76965289532708,F,41.25241068651854
30.5879204455406,M,79.55457219976876
27.452195569676817,F,27.08015400321388
48.849821505442286,F,31.84462740135391
81.26874633426822,F,29.53679038011451
20.30139818005817,F,18.403547529392405
43.85957645607755,F,43.85949805000101
