age,gender,income
103.93896537432734,M,-4878.423537457704
-38.930217216828446,M,62001.58424351718
15.672881354555333,F,32295.813858971957
-37.239413206712506,F,-155888.19194293593
-4.985842241118597,M,134066.24849095996
-31.67594984724004,M,-41407.78557457405
30.02458992062852,M,145868.49774673287
-101.89840635494801,M,109296.75309794454
-16.217495331762684,F,111695.51579370724
53.763331602101324,F,-17319.05131390482
229.83900942181157,F,72830.8928214613
-25.488159797643227,F,35968.985964606305
32.0243508042362,F,26498.098756420666
-18.63310046701565,M,-182900.75876815515
16.00054956200363,F,206451.9977249758
40.414725075709605,M,-125879.6761755025
-50.228127444056184,M,174706.56392318857
208.09425963699778,M,-16763.04042950196
152.09961878309542,M,-997.8910557298659
104.91810958586997,M,47531.77658030094
152.7384507167121,M,43588.0998704853
64.65828746594507,F,-89585.71442882024
52.97587439662309,F,22489.971689347283
104.31860811490984,F,115423.02914729867
150.4612403880255,M,-261007.3401237431
172.80409670626088,F,21661.655231692683
160.91330896706236,F,119258.73794039022
35.6916111034344,F,-216650.03843615312
-13.113789119820197,M,193005.0080316465
59.85217256740992,M,35544.818321470426
-23.43402009316916,F,19913.1300490168
82.56146523131873,M,132915.1796148233
119.43384508508476,F,-183988.47357819162
-30.12303770376937,M,-70353.42275178923
50.97959115819111,M,296123.89874904865
71.51264029103697,F,360149.6617059255
28.72882382023316,F,15597.794505578631
47.66629563974978,M,14198.808407969427
-1.1579139873634716,M,53869.1270582658
-85.31008936681967,F,-43932.70583755581
144.9443716221194,M,40875.0274875369
-14.157358264579138,F,18785.02716423302
52.555944774606544,F,238644.55809219283
131.74708605284903,M,119138.9989721776
-130.39615583871677,F,49729.495595965294
-10.023750319566918,F,157879.16306640193
29.331480046033704,M,-119579.88160906697
-1.4292910407638253,M,-201568.4283935731
78.81869609970161,M,-76260.519324832
38.56342072275564,M,181371.68031400244
14.075619131965794,M,-49945.33933362574
-53.88806692771189,F,52019.18289222961
-21.414786814317765,F,-54265.46547228772
-21.794526282887084,M,-13964.11380245471
64.2873997618797,M,91982.35519175293
82.6711366382339,F,6992.093005787268
-153.08242154309,M,184513.60248249074
89.6294543056064,F,13884.591408704522
